student,question,activityFK,answer,answerFlag,answerTimestamp
488,334,12477,C,1,2017-01-20 01:18:37.888726+00:00
488,334,12477,C,1,2017-01-20 01:18:37.697388+00:00
488,334,12477,C,1,2017-01-20 01:18:37.488061+00:00
488,334,12477,C,1,2017-01-20 01:18:37.146284+00:00
488,334,12477,C,1,2017-01-20 01:18:37.075777+00:00
488,334,12477,C,1,2017-01-20 01:18:36.966117+00:00
488,334,12477,C,1,2017-01-20 01:18:36.583208+00:00
488,334,12477,C,1,2017-01-20 01:18:36.396847+00:00
488,334,12477,C,1,2017-01-20 01:18:36.219881+00:00
488,334,12477,C,1,2017-01-20 01:18:36.064521+00:00
488,334,12477,C,1,2017-01-20 01:18:35.869686+00:00
488,334,12477,C,1,2017-01-20 01:18:35.687951+00:00
488,334,12477,C,1,2017-01-20 01:18:35.512534+00:00
488,334,12477,C,1,2017-01-20 01:18:35.328253+00:00
488,334,12477,C,1,2017-01-20 01:18:35.179526+00:00
488,334,12477,C,1,2017-01-20 01:18:34.968668+00:00
488,334,12477,C,1,2017-01-20 01:18:34.768877+00:00
488,334,12477,C,1,2017-01-20 01:18:34.593519+00:00
488,334,12477,C,1,2017-01-20 01:18:34.468687+00:00
488,334,12477,C,1,2017-01-20 01:18:27.793397+00:00
488,334,12477,B,2,2017-01-20 01:18:24.671081+00:00
488,334,12477,B,2,2017-01-20 01:18:24.465829+00:00
488,334,12477,B,2,2017-01-20 01:18:24.278808+00:00
488,334,12477,B,2,2017-01-20 01:18:24.102339+00:00
488,334,12477,B,2,2017-01-20 01:18:23.915667+00:00
488,334,12477,B,2,2017-01-20 01:18:23.609513+00:00
488,334,12477,B,2,2017-01-20 01:18:20.990212+00:00
488,321,12299,B,1,2017-01-18 02:11:46.734206+00:00
488,295,12298,D,1,2017-01-18 02:04:15.250574+00:00
488,295,12298,D,1,2017-01-18 02:04:15.049667+00:00
488,295,12298,D,1,2017-01-18 02:04:14.891522+00:00
488,295,12298,D,1,2017-01-18 02:04:14.682205+00:00
488,295,12298,D,1,2017-01-18 02:04:14.503437+00:00
488,295,12298,D,1,2017-01-18 02:04:04.582286+00:00
